iter	Passed	Remaining
0	162	32254
1	178	17701
2	195	12832
3	211	10383
4	227	8866
5	242	7844
6	258	7125
7	273	6560
8	289	6140
9	304	5792
10	320	5508
11	336	5268
12	351	5062
13	367	4879
14	381	4710
15	397	4568
16	412	4437
17	425	4299
18	434	4141
19	444	4000
20	454	3874
21	468	3789
22	481	3706
23	495	3635
24	506	3542
25	516	3454
26	529	3395
27	541	3329
28	554	3271
29	566	3207
30	575	3138
31	589	3092
32	602	3049
33	612	2991
34	625	2949
35	635	2893
36	648	2854
37	658	2807
38	670	2766
39	682	2729
40	692	2684
41	704	2650
42	714	2608
43	727	2579
44	737	2540
45	750	2512
46	761	2479
47	773	2449
48	786	2424
49	796	2390
50	810	2367
51	821	2337
52	831	2305
53	844	2283
54	854	2253
55	868	2233
56	879	2205
57	890	2179
58	902	2156
59	911	2127
60	924	2106
61	937	2086
62	947	2060
63	960	2040
64	969	2014
65	980	1991
66	991	1968
67	1004	1949
68	1016	1929
69	1026	1906
70	1039	1889
71	1050	1866
72	1062	1848
73	1072	1826
74	1085	1808
75	1096	1788
76	1109	1772
77	1122	1756
78	1133	1735
79	1146	1719
80	1155	1698
81	1168	1681
82	1179	1662
83	1191	1645
84	1205	1631
85	1216	1612
86	1228	1595
87	1242	1581
88	1252	1561
89	1266	1547
90	1276	1529
91	1289	1513
92	1302	1498
93	1312	1480
94	1326	1466
95	1339	1450
96	1351	1435
97	1364	1419
98	1374	1402
99	1387	1387
100	1398	1371
101	1410	1354
102	1423	1340
103	1435	1324
104	1447	1309
105	1458	1293
106	1472	1279
107	1483	1263
108	1496	1249
109	1508	1234
110	1517	1217
111	1529	1201
112	1542	1187
113	1552	1170
114	1564	1156
115	1576	1141
116	1586	1125
117	1599	1111
118	1611	1097
119	1622	1081
120	1634	1066
121	1646	1052
122	1657	1037
123	1670	1023
124	1682	1009
125	1693	994
126	1705	980
127	1718	966
128	1731	952
129	1740	937
130	1753	923
131	1765	909
132	1775	894
133	1787	880
134	1800	866
135	1813	853
136	1825	839
137	1837	825
138	1849	811
139	1860	797
140	1872	783
141	1885	770
142	1896	755
143	1906	741
144	1918	727
145	1931	714
146	1941	700
147	1953	686
148	1966	672
149	1975	658
150	1988	645
151	1999	631
152	2009	617
153	2020	603
154	2033	590
155	2045	576
156	2055	563
157	2068	549
158	2080	536
159	2092	523
160	2103	509
161	2116	496
162	2128	483
163	2139	469
164	2151	456
165	2163	443
166	2173	429
167	2186	416
168	2198	403
169	2208	389
170	2220	376
171	2233	363
172	2244	350
173	2254	336
174	2266	323
175	2279	310
176	2289	297
177	2301	284
178	2314	271
179	2325	258
180	2339	245
181	2349	232
182	2361	219
183	2374	206
184	2385	193
185	2397	180
186	2411	167
187	2422	154
188	2433	141
189	2446	128
190	2457	115
191	2468	102
192	2480	89
193	2493	77
194	2503	64
195	2515	51
196	2529	38
197	2541	25
198	2552	12
199	2565	0
